,yr,mo,dy,date,time,mag,slat,slon,radar,radar_dist,datetime,max_dbz,mean_dbz,max_zdr,mean_zdr,min_zdr,mean_cc,min_cc,count_30dbz,count_50dbz,count_60dbz,ratio_50_30,ratio_60_50,zdr_range,sig
295,2019,7,8,2019-07-08,15:45:00,1.75,44.0173,-103.4759,KUDX,53.5507424353394,2019-07-08 15:45:00,68.5,40.0,4.9375,2.3,-1.9375,0.95,0.2083333283662796,4757,498,48,0.10466582597730138,0.09619238476953908,6.875,0
296,2020,4,7,2020-04-07,19:47:00,1.0,42.0,-88.55,KLOT,58.9292228245606,2020-04-07 19:47:00,68.5,42.1,4.9375,2.3,-1.6875,0.98,0.3116666674613952,2475,522,107,0.21082390953150243,0.2045889101338432,6.625,0
297,2014,6,18,2014-06-18,07:48:00,1.25,42.83,-88.74,KMKX,20.45957683123393,2014-06-18 07:48:00,63.5,43.5,4.9375,1.5,-1.9375,0.94,0.2083333283662796,47079,11582,23,0.2460067969413764,0.001985668652335319,6.875,0
298,2017,6,17,2017-06-17,18:30:00,1.0,39.14,-95.69,KTWX,49.61346742903896,2017-06-17 18:30:00,59.0,39.0,4.9375,1.8,-1.9375,0.98,0.2083333283662796,13930,339,0,0.024334218649056064,0.0,6.875,0
299,2019,10,10,2019-10-10,18:04:00,1.0,32.87,-97.61,KFWS,45.017460785383165,2019-10-10 18:04:00,65.5,40.5,4.9375,1.7,-1.9375,0.97,0.2083333283662796,8717,889,24,0.10197292957100253,0.02696629213483146,6.875,0
300,2017,6,17,2017-06-17,18:55:00,1.5,37.69,-100.38,KDDC,36.970914637070486,2017-06-17 18:55:00,69.0,43.7,4.9375,2.4,-1.9375,0.9,0.2083333283662796,6110,1679,201,0.274750450008182,0.11964285714285715,6.875,0
301,2014,4,28,2014-04-28,13:50:00,1.75,38.98,-90.98,KLSX,42.82201901572429,2014-04-28 13:50:00,69.0,42.9,4.9375,2.1,-1.9375,0.97,0.2083333283662796,15581,3506,203,0.2250032088307021,0.05788423153692615,6.875,0
302,2019,6,21,2019-06-21,15:33:00,1.0,39.35,-104.33,KFTG,51.348199842342446,2019-06-21 15:33:00,67.5,39.6,4.75,0.9,-1.9375,0.98,0.2083333283662796,11677,1818,236,0.15567734201061825,0.1297416162726773,6.6875,0
303,2017,7,9,2017-07-09,15:30:00,1.0,32.61,-97.8,KFWS,47.27041863314732,2017-07-09 15:30:00,64.0,41.3,4.9375,2.0,-1.25,0.98,0.6883333325386047,1093,137,6,0.12522851919561243,0.043478260869565216,6.1875,0
304,2017,4,4,2017-04-04,16:11:00,1.0,36.0754,-95.8868,KINX,30.38994614231868,2017-04-04 16:11:00,64.5,43.5,4.9375,0.9,-1.9375,0.94,0.2083333283662796,22231,6205,384,0.279102195034185,0.061875604253947794,6.875,0
